Intel® Product Specification Comparison
09/02/2026 07:45:39 PM
 ,Intel Atom® x7809C Processor ,Intel Atom® x7405C Processor ,Intel® Core™ i9 processor 14900KS ,Intel® Core™ 5 processor 120UL ,Intel® Core™ 7 processor 150UL ,Intel® Core™ 5 processor 130UL ,Intel® Processor U300L ,Intel® Core™ 3 processor 100UL ,Intel® Processor U302L ,Intel® Processor U303L ,Intel® Processor U301L ,Intel® Core™ 7 processor 160UL ,Intel® Core™ Ultra 3 Processor 105UL ,Intel® Core™ Ultra 5 Processor 125HL ,Intel® Core™ Ultra 5 Processor 125UL ,Intel® Core™ Ultra 5 Processor 135HL ,Intel® Core™ Ultra 5 Processor 135UL ,Intel® Core™ Ultra 7 Processor 155HL ,Intel® Core™ Ultra 7 Processor 155UL ,Intel® Core™ Ultra 7 Processor 165HL ,Intel® Core™ Ultra 7 Processor 165UL 
Max Resolution (eDP - Integrated Flat Panel)‡,,,5120 x 3200 @ 120Hz,4096 x 2304 @ 120Hz,4096 x 2304 @ 120Hz,4096 x 2304 @ 120Hz,4096 x 2304 @ 120Hz,4096 x 2304 @ 120Hz,4096 x 2304 @ 120Hz,4096 x 2304 @ 120Hz,4096 x 2304 @ 120Hz,4096 x 2304 @ 120Hz,3840 x 2400 @ 120Hz,3840 x 2400 @ 120Hz,3840 x 2400 @ 120Hz,3840 x 2400 @ 120Hz,3840 x 2400 @ 120Hz,3840 x 2400 @ 120Hz,3840 x 2400 @ 120Hz,3840 x 2400 @ 120Hz,3840 x 2400 @ 120Hz
DirectX* Support,,,12,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2
OpenGL* Support,,,4.5,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6
OpenCL* Support,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Multi-Format Codec Engines,,,2,2,2,2,2,1,2,2,1,2,,,,,,,,,
Intel® Quick Sync Video,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Clear Video HD Technology,,,Yes,,,,,,,,,,,,,,,,,,
# of Displays Supported ‡,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Device ID,,,0xA780,0xA7A1,0xA7A1,0xA7A1,0xA7A9,0xA7A9,0xA7A1,0xA7A1,0xA7A9,0xA7A1,0x7D45,0x7D55,0x7D45,0x7D55,0x7D45,0x7D55,0x7D45,0x7D55,0x7D45
H.264 Hardware Encode/Decode,,,,Yes,Yes,Yes,,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
H.265 (HEVC) Hardware Encode/Decode,,,,Yes,Yes,Yes,,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
AV1 Hardware Encode/Decode,,,,Decode Only,Decode Only,Decode Only,,Decode Only,,,,Decode Only,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Deep Learning Boost (Intel® DL Boost) on GPU,,,,No,No,No,,No,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Xe-cores,,,,,,,,,,,,,3,7,4,8,4,8,4,8,4
AI Datatype Support on GPU,,,,,,,,,,,,,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32
AI Software Frameworks Supported by GPU,,,,,,,,,,,,,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU

NPU Specifications
NPU Name‡,,,,,,,,,,,,,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost
Sparsity Support,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Windows Studio Effects Support,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
AI Datatype Support on NPU,,,,,,,,,,,,,Int8 |  FP16 |  FP32,Int8 |  FP16 |  FP32,Int8 |  FP16 |  FP32,Int8 |  FP16 |  FP32,Int8 |  FP16 |  FP32,Int8 |  FP16 |  FP32,Int8 |  FP16 |  FP32,Int8 |  FP16 |  FP32,Int8 |  FP16 |  FP32
AI Software Frameworks Supported by NPU,,,,,,,,,,,,,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT
