Intel® Product Specification Comparison
09/02/2026 07:42:58 PM
 ,Intel® Xeon® 6333P Processor ,Intel® Xeon® 6315P Processor ,Intel® Xeon® 6325P Processor ,Intel® Xeon® 6357P Processor ,Intel® Xeon® 6353P Processor ,Intel® Xeon® 6349P Processor ,Intel® Xeon® 6337P Processor ,Intel® Xeon® 6369P Processor ,Intel® Xeon® 6747P Processor ,Intel® Xeon® 6521P Processor ,Intel® Xeon® 6530P Processor ,Intel® Xeon® 6520P Processor ,Intel® Xeon® 6732P Processor ,Intel® Xeon® 6527P Processor ,Intel® Xeon® 6517P Processor ,Intel® Xeon® 6511P Processor ,Intel® Xeon® 6505P Processor ,Intel® Xeon® 6507P Processor ,Intel® Xeon® 6515P Processor ,Intel® Xeon® 6724P Processor ,Intel® Xeon® 6714P Processor ,Intel® Xeon® 6944P Processor ,Intel® Xeon® 6726P-B Processor ,Intel® Xeon® 6503P-B Processor ,Intel® Xeon® 6516P-B Processor ,Intel® Xeon® 6533P-B Processor ,Intel® Xeon® 6523P-B Processor ,Intel® Xeon® 6546P-B Processor ,Intel® Xeon® 6543P-B Processor ,Intel® Xeon® 6553P-B Processor ,Intel® Xeon® 6706P-B Processor ,Intel® Xeon® 6563P-B Processor ,Intel® Xeon® 6556P-B Processor ,Intel® Xeon® 6716P-B Processor ,Intel® Xeon® 6513P-B Processor ,Intel® Xeon® 6745P Processor ,Intel® Xeon® 6776P Processor ,Intel® Xeon® 6774P Processor ,Intel Atom® P6952-3 Processor ,Intel Atom® P6942-3 Processor ,Intel Atom® P6962-3 Processor ,Intel Atom® P6962-5 Processor ,Intel® Core™ Ultra 5 Processor 235TA ,Intel® Core™ Ultra 5 Processor 235A ,Intel® Xeon® 698X Processor ,Intel® Xeon® 6532P-B Processor ,Intel® Core™ Ultra 5 Processor 235UA ,Intel® Xeon® 696X Processor ,Intel® Xeon® 676X Processor ,Intel® Xeon® 678X Processor ,Intel® Xeon® 636 Processor ,Intel® Xeon® 638 Processor ,Intel® Xeon® 656 Processor ,Intel® Xeon® 654 Processor ,Intel® Xeon® 658X Processor ,Intel® Xeon® 674X Processor ,Intel® Xeon® 6962P Processor ,Intel® Xeon® 6978P Processor ,Intel® Xeon® 634 Processor ,Intel Atom® x7835FE Processor ,Intel Atom® x7433FE Processor ,Intel® Xeon® 6548P-B Processor ,Intel® Xeon® 6725P Processor ,Intel® Xeon® 6776P-B Processor ,Intel® Xeon® 6766P-B Processor ,Intel® Xeon® 6756P-B Processor ,Intel® Core™ Ultra X7 Processor 368H ,Intel® Core™ Ultra X9 Processor 388H ,Intel® Core™ Ultra X7 Processor 358H ,Intel® Core™ Ultra 9 Processor 386H ,Intel® Core™ Ultra 7 Processor 366H ,Intel® Core™ Ultra 5 Processor 338H ,Intel® Core™ Ultra 7 Processor 356H ,Intel® Core™ Ultra 5 Processor 336H ,Intel® Xeon® 6544P-B Processor ,Intel® Xeon® 6718P-B Processor ,Intel® Xeon® 6518P-B Processor ,Intel® Arc™ G3 Extreme Processor ,Intel® Arc™ G3  Processor ,Intel® Core™ Ultra 5 processor 250KF Plus ,Intel® Core™ Ultra 7 processor 270K Plus ,Intel® Core™ Ultra 5 processor 250K Plus ,Intel® Core™ Ultra 7 Processor 365 ,Intel® Core™ 5 Processor 223PQE ,Intel® Core™ 5 Processor 213PE ,Intel® Core™ Ultra 5 Processor 322 ,Intel® Core™ 9 Processor 273PE ,Intel® Core™ Ultra 5 Processor 332 ,Intel® Core™ 9 Processor 273PTE ,Intel® Core™ Ultra 5 Processor 325 ,Intel® Core™ 5 Processor 223PTE ,Intel® Core™ Ultra 7 Processor 355 ,Intel® Core™ 7 Processor 253PTE ,Intel® Core™ 9 Processor 273PQE ,Intel® Core™ 7 Processor 253PE ,Intel® Core™ 5 Processor 213PTE ,Intel® Core™ Ultra 5 Processor 335 ,Intel® Core™ 5 Processor 223PE ,Intel® Core™ 7 Processor 253PQE ,Intel® Xeon® 6768P-B Processor ,Intel® Core™ Ultra 7 processor 251HX ,Intel® Core™ Ultra 9 processor 290HX Plus ,Intel® Core™ Ultra 7 processor 270HX Plus ,Intel® Core™ 7 processor 360 ,Intel® Core™ 5 processor 330 ,Intel® Core™ 7 processor 350 ,Intel® Core™ 5 processor 320 ,Intel® Core™ 3 processor 305 ,Intel® Core™ 3 processor 304 ,Intel Atom® P6942-5 Processor ,Intel Atom® P6922-3 Processor ,Intel® Xeon® 6990E+ processor ,Intel® Xeon® 6980E+ processor ,Intel® Xeon® 6960E+ processor ,Intel® Xeon® 6970E+ processor ,Intel® Xeon® 6503P processor ,Intel® Core™ 5 processor 315 ,Intel® Core™ Ultra X9 processor 378H ,Intel® Xeon® 6377P Processor 
# of Efficiency-cores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,16,24,24,8,8,0,,8,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,8,8,8,8,8,4,8,4,,,,8,8,12,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,16,12,0,0,0,0,0,0,16,8,288,264,144,192,,0,8,
Total L2 Cache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 MB,16 MB,24 MB,24 MB,26 MB,26 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 MB,40 MB,30 MB,,,,,,,,,,,,,,,,,,,30 MB,40 MB,36 MB,,,,,,,16 MB,8 MB,,,,,,,,
Scenario Design Power (SDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74 W,66 W,82 W,86 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70 W,50 W,,,,,,,,
# of Low Power Efficient-cores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,2,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,,,,4,4,0,0,0,4,,,4,,4,,4,,4,,,,,4,,,,0,0,0,4,4,4,4,4,4,,,,,,,,4,4,
Single P-core Turbo Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 GHz,5 GHz,,,4.9 GHz,,,,,,,,,,,,,,,,,,,,5 GHz,5.1 GHz,4.8 GHz,4.9 GHz,4.8 GHz,4.7 GHz,4.7 GHz,4.6 GHz,,,,4.7 GHz,4.6 GHz,5.3 GHz,5.4 GHz,5.3 GHz,4.8 GHz,5.3 GHz,5.2 GHz,4.4 GHz,5.4 GHz,4.4 GHz,5.3 GHz,4.5 GHz,5.4 GHz,4.7 GHz,5.2 GHz,5.5 GHz,5.3 GHz,5.2 GHz,4.6 GHz,5.4 GHz,5.5 GHz,,5.1 GHz,5.5 GHz,5.3 GHz,4.8 GHz,4.6 GHz,4.8 GHz,4.6 GHz,4.3 GHz,4.3 GHz,,,,,,,,4.4 GHz,5 GHz,
Single E-core Turbo Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4 GHz,4.4 GHz,,,4.1 GHz,,,,,,,,,,,,,,,,,,,,3.8 GHz,3.8 GHz,3.5 GHz,3.7 GHz,3.6 GHz,3.4 GHz,3.5 GHz,3.4 GHz,,,,3.4 GHz,3.3 GHz,4.6 GHz,4.7 GHz,4.6 GHz,,,,,,,,,,,,,,,,,,,4.5 GHz,4.7 GHz,4.7 GHz,,,,,,,,,,,,,,,3.8 GHz,
P-core Base Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2 GHz,3.4 GHz,,,2.0 GHz,,,,,,,,,,,,,,,,,,,,2 GHz,2.1 GHz,1.9 GHz,2.1 GHz,2 GHz,1.9 GHz,1.9 GHz,1.9 GHz,,,,1.9 GHz,1.9 GHz,4.2 GHz,3.7 GHz,4.2 GHz,2.4 GHz,4 GHz,2.7 GHz,2.5 GHz,2.3 GHz,2.5 GHz,1.4 GHz,2.1 GHz,2.3 GHz,2.3 GHz,1.8 GHz,3.4 GHz,2.5 GHz,2.1 GHz,2.2 GHz,2.9 GHz,3.5 GHz,,2.9 GHz,2.7 GHz,2.4 GHz,1.5 GHz,1.5 GHz,1.5 GHz,1.5 GHz,1.5 GHz,1.5 GHz,,,,,,,,1.5 GHz,2 GHz,
E-core Base Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6 GHz,2.9 GHz,,,1.6 GHz,,,,,,,,,,,,,,,,,,,,1.6 GHz,1.6 GHz,1.5 GHz,1.6 GHz,1.6 GHz,1.5 GHz,1.5 GHz,1.5 GHz,,,,1.5 GHz,1.5 GHz,3.3 GHz,3.2 GHz,3.3 GHz,1.8 GHz,,,1.9 GHz,,1.9 GHz,,1.6 GHz,,1.7 GHz,,,,,1.6 GHz,,,,2.5 GHz,1.8 GHz,1.8 GHz,,,,,,,,,,,,,,,1.6 GHz,
Processor Base Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35 W,65 W,350 W,,15 W,350 W,275 W,300 W,170 W,180 W,210 W,200 W,250 W,270 W,,,150 W,,,,,,,,25 W,25 W,25 W,25 W,25 W,25 W,25 W,25 W,,,,25 W,25 W,125 W,125 W,125 W,25 W,125 W,65 W,25 W,65 W,25 W,45 W,25 W,45 W,25 W,45 W,125 W,65 W,45 W,25 W,65 W,125 W,,55 W,55 W,55 W,15 W,15 W,15 W,15 W,15 W,15 W,,,,,,,,15 W,25 W,
Maximum Turbo Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114 W,121 W,420 W,,57 W,420 W,330 W,360 W,204 W,216 W,252 W,240 W,300 W,324 W,,,180 W,,,,,,,,80 W,80 W,80 W,80 W,80 W,65 W,80 W,65 W,,,,80 W,80 W,159 W,250 W,159 W,55 W,,,55 W,,55 W,,55 W,,55 W,,,,,55 W,,,,160 W,160 W,160 W,35 W,35 W,35 W,35 W,35 W,35 W,,,,,,,,35 W,80 W,
AI Software Frameworks Supported by CPU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN | ,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,,,OpenVINO™ |  WindowsML |  ONNX RT,,,,,,,,,,,,,,,,,,,,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,,,,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,,,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,,,,,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,,,,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,,,,,,,,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,
CPU Lithography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TSMC N3B,TSMC N3B,,,Intel 3,,,,,,,,,,,,,,,,,,,,Intel 18A,Intel 18A,Intel 18A,Intel 18A,Intel 18A,Intel 18A,Intel 18A,Intel 18A,,,,Intel 18A,Intel 18A,TSMC N3B,TSMC N3B,TSMC N3B,Intel 18A,Intel 7,Intel 7,Intel 18A,Intel 7,Intel 18A,Intel 7,Intel 18A,Intel 7,Intel 18A,Intel 7,Intel 7,Intel 7,Intel 7,Intel 18A,Intel 7,Intel 7,,TSMC N3B,TSMC N3B,TSMC N3B,Intel 18A,Intel 18A,Intel 18A,Intel 18A,Intel 18A,Intel 18A,,,,,,,,Intel 18A,Intel 18A,
Intel® Turbo Boost Max Technology 3.0 Frequency ‡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8 GHz,,,4.8 GHz,4.9 GHz,4.9 GHz,4.7 GHz,4.8 GHz,4.8 GHz,4.8 GHz,4.9 GHz,4.9 GHz,,,4.6 GHz,,,,,,,,5 GHz,5.1 GHz,4.8 GHz,4.9 GHz,4.8 GHz,4.7 GHz,4.7 GHz,4.6 GHz,,,,4.7 GHz,4.6 GHz,,5.5 GHz,,4.8 GHz,5.5 GHz,,4.4 GHz,5.6 GHz,4.4 GHz,5.5 GHz,4.5 GHz,,4.7 GHz,5.4 GHz,5.7 GHz,5.5 GHz,,4.6 GHz,,5.7 GHz,,,,,4.8 GHz,4.6 GHz,4.8 GHz,4.6 GHz,,,,,,,,,,4.4 GHz,5 GHz,
Intel® Turbo Boost Technology 2.0 Frequency‡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6 GHz,,,4.6 GHz,4.7 GHz,4.7 GHz,4.5 GHz,4.6 GHz,4.6 GHz,4.6 GHz,4.7 GHz,4.7 GHz,,,4.4 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low Power Efficient-core Max Turbo Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4 GHz,,,,,,,,,,,,,,,,,,,,3.6 GHz,3.7 GHz,3.3 GHz,3.5 GHz,3.4 GHz,3.3 GHz,3.3 GHz,3.2 GHz,,,,3.1 GHz,3.1 GHz,,,,3.6 GHz,,,3.3 GHz,,3.3 GHz,,3.4 GHz,,3.5 GHz,,,,,3.4 GHz,,,,,,,3.6 GHz,3.4 GHz,3.6 GHz,3.4 GHz,3.3 GHz,3.3 GHz,,,,,,,,3.3 GHz,3.6 GHz,
Low Power Efficient-core Base Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700 MHz,,,,,,,,,,,,,,,,,,,,1.6 GHz,1.6 GHz,1.5 GHz,1.6 GHz,1.6 GHz,1.5 GHz,1.5 GHz,1.5 GHz,,,,1.5 GHz,1.5 GHz,,,,1.8 GHz,,,1.9 GHz,,1.9 GHz,,1.6 GHz,,1.7 GHz,,,,,1.6 GHz,,,,,,,1.4 GHz,1.4 GHz,1.4 GHz,1.4 GHz,1.4 GHz,1.4 GHz,,,,,,,,1.4 GHz,1.6 GHz,
Minimum Assured Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 W,,,,,,,,,,,,,,,,,,,,15 W,15 W,15 W,15 W,15 W,15 W,15 W,15 W,,,,15 W,15 W,,,,12 W,,,12 W,,12 W,,12 W,,12 W,,,,,12 W,,,,45 W,45 W,45 W,10 W,10 W,10 W,10 W,10 W,10 W,,,,,,,,10 W,15 W,
Configurable TDP Range,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8-35W,8-30W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Thermal Velocity Boost Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5 GHz,5.2 GHz,,5.7 GHz,,5.5 GHz,,5.4 GHz,,5.4 GHz,5.9 GHz,5.5 GHz,5.2 GHz,,5.4 GHz,5.7 GHz,,,,,,,,,,,,,,,,,,,,

Supplemental Information
Marketing Status,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched
Launch Date,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q2'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q2'25,Q1'25,Q1'25,Q2'25,Q2'25,Q1'26,Q1'26,Q1'26,Q1'26,Q3'25,Q3'25,Q1'26,Q3'25,Q3'25,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q3'25,Q3'25,Q1'26,Q3'25,Q3'25,Q4'25,Q3'25,Q4'25,Q4'25,Q4'25,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q4'25,Q4'25,Q4'25,Q2'26,Q2'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q4'25,Q1'26,Q1'26,Q1'26,Q2'26,Q2'26,Q2'26,Q2'26,Q2'26,Q2'26,Q1'26,Q1'26,Q2'26,Q2'26,Q2'26,Q2'26,Q2'26,Q2'26,Q1'26,Q2'26
Servicing Status,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,,,,,,,,,,,,,,,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,,,,,,,,,,,Baseline Servicing,,,,,,,,,,,,,,,,Baseline Servicing,,Baseline Servicing,Baseline Servicing,Baseline Servicing,,,,,,,,,Baseline Servicing,Baseline Servicing,Baseline Servicing,,,,,,,,,,,,,,,,,,,,,,,Baseline Servicing,,,,,,,,,,,,,,,,,,,Baseline Servicing
Embedded Options Available,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,,,,,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,No,Yes,No,No
Use Conditions,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,,,,,,,,,,,,,,,Communications Commercial Temp,Communications Commercial Temp,Communications Commercial Temp,Communications Commercial Temp,Communications Commercial Temp,Communications Commercial Temp,Communications Commercial Temp,Communications Commercial Temp,Communications Commercial Temp,Communications Commercial Temp,Communications Extended Temp,Communications Commercial Temp,Communications Commercial Temp,,,,Communications Extended Temp,Communications Extended Temp,Communications Extended Temp,Communications Extended Temp,PC/Client/Tablet,PC/Client/Tablet,,Communications Commercial Temp,PC/Client/Tablet,,,,,,,,,,,,,Communications Extended Temp |  Embedded Broad Market Extended Temp |  Industrial Extended Temp,Communications Extended Temp |  Embedded Broad Market Extended Temp |  Industrial Extended Temp,Communications Extended Temp,,Communications Commercial Temp,Communications Commercial Temp,Communications Commercial Temp,,,,,,,,,Communications Commercial Temp,Communications Commercial Temp,Communications Extended Temp,,,PC/Client/Tablet,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,,PC/Client/Tablet,PC/Client/Tablet,,PC/Client/Tablet,,PC/Client/Tablet,,PC/Client/Tablet,,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,,PC/Client/Tablet,PC/Client/Tablet,Communications Commercial Temp,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,,,,,,,Communications Extended Temp,Communications Extended Temp,,,,,,,,Server/Enterprise
Extended Temperature Options,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,No,No,,No,,No,,No,,No,No,No,No,,No,No,,,,,,,,,,,,,,,,,,,,
Functional Safety (FuSa) Documentation Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product Tuning (Embedded Uses),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,Yes,Yes - Embedded,Yes - Embedded & Industrial,Yes,Yes - Embedded & Industrial,Yes,Yes - Embedded & Industrial,Yes,Yes - Embedded & Industrial,Yes,Yes - Embedded & Industrial,Yes - Embedded,Yes - Embedded & Industrial,Yes - Embedded & Industrial,Yes,Yes - Embedded & Industrial,Yes - Embedded,,,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,Yes,Yes,
Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,,,,,,,,,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,,,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,,,,,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,,,,,,,,,,,,,,,,,,,,,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,

Memory Specifications
Max Memory Size (dependent on memory type),128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,3 TB,1.13 TB,1.13 TB,1.13 TB,1.13 TB,1.13 TB,1.13 TB,1.13 TB,1.13 TB,1.13 TB,1.13 TB,1.13 TB,1.13 TB,1.13 TB,4 TB,4 TB,4 TB,128 GB,128 GB,128 GB,128 GB,256 GB,256 GB,4 TB,1.13 TB,128 GB,4 TB,4 TB,4 TB,2 TB,2 TB,4 TB,4 TB,4 TB,4 TB,3 TB,3 TB,2 TB,32 GB,32 GB,1.13 TB,4 TB,2.25 TB,2.25 TB,2.25 TB,96 GB,96 GB,96 GB,128 GB,128 GB,96 GB,128 GB,128 GB,1.13 TB,1.13 TB,1.13 TB,96 GB,96 GB,256 GB,256 GB,256 GB,128 GB,192 GB,192 GB,128 GB,192 GB,128 GB,192 GB,128 GB,192 GB,128 GB,192 GB,192 GB,192 GB,192 GB,128 GB,192 GB,192 GB,2.25 TB,256 GB,256 GB,256 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,128 GB,128 GB,1.5 TB,1.5 TB,1.5 TB,1.5 TB,4 TB,64 GB,96 GB,128 GB
