Intel® Product Specification Comparison
09/02/2026 07:45:25 PM
 ,Intel® Xeon® w5-2545 Processor ,Intel® Xeon® w7-2595X Processor ,Intel® Xeon® w7-2575X Processor ,Intel® Xeon® w3-2535 Processor ,Intel® Xeon® w5-2555X Processor ,Intel® Xeon® w3-2525 Processor ,Intel® Xeon® w5-2565X Processor ,Intel Atom® x7213RE Processor ,Intel Atom® x7433RE Processor ,Intel Atom® x7835RE Processor ,Intel Atom® x7203C Processor ,Intel Atom® x7211RE Processor ,Intel® Core™ 7 processor 250U ,Intel® Core™ i7 processor 14701TE ,Intel® Core™ i7 processor 14701E ,Intel® Core™ 5 processor 220U ,Intel® Core™ i5 processor 14401E ,Intel® Core™ i9 processor 14901TE ,Intel® Core™ i5 processor 14401TE ,Intel® Core™ i5 processor 14501TE ,Intel® Core™ i5 processor 14501E ,Intel® Core™ i9 processor 14901E ,Intel® Core™  7 processor 150HL ,Intel® Core™ 5 processor 120HL ,Intel® Core™ 3 processor 100HL ,Intel® Core™ 7 processor 160HL ,Intel® Core™ 5 processor 130HL ,Intel® Xeon® 6740E Processor ,Intel® Xeon® 6756E Processor ,Intel® Xeon® 6780E Processor ,Intel® Xeon® 6710E Processor ,Intel® Xeon® 6766E Processor ,Intel® Xeon® 6731E Processor ,Intel® Xeon® 6746E Processor ,Intel® Xeon® w9-3595X Processor ,Intel® Xeon® w5-3535X Processor ,Intel® Xeon® w5-3525 Processor ,Intel® Xeon® w7-3555 Processor ,Intel® Xeon® w7-3565X Processor ,Intel® Xeon® w7-3545 Processor ,Intel® Xeon® w9-3575X Processor ,Intel® Xeon® 6960P Processor ,Intel® Xeon® 6980P Processor ,Intel® Xeon® 6979P Processor ,Intel® Xeon® 6972P Processor ,Intel® Core™ Ultra 5 Processor 238V ,Intel® Core™ Ultra 7 Processor 256V ,Intel® Core™ Ultra 5 Processor 228V ,Intel® Core™ Ultra 7 Processor 266V ,Intel® Core™ Ultra 7 Processor 258V ,Intel® Core™ Ultra 7 Processor 268V ,Intel® Core™ Ultra 5 Processor 236V ,Intel® Core™ Ultra 5 Processor 226V ,Intel® Core™ Ultra 9 Processor 288V ,Intel® Core™ Ultra 9 Processor 285T ,Intel® Core™ Ultra 9 Processor 285K ,Intel® Core™ Ultra 9 Processor 285 ,Intel® Core™ Ultra 7 Processor 265KF ,Intel® Core™ Ultra 7 Processor 265K ,Intel® Core™ Ultra 7 Processor 265F ,Intel® Core™ Ultra 7 Processor 265T ,Intel® Core™ Ultra 5 Processor 245KF ,Intel® Core™ Ultra 5 Processor 245K ,Intel® Core™ Ultra 7 Processor 265 ,Intel® Core™ Ultra 5 Processor 225F ,Intel® Core™ Ultra 5 Processor 225 ,Intel® Processor N150 ,Intel® Processor N250 ,Intel® Core™ 3 Processor N350 ,Intel® Core™ 3 Processor N355 ,Intel® Xeon® 6952P Processor ,Intel® Core™ 7 processor 250H ,Intel® Core™ 5 processor 210H ,Intel® Core™ 7 processor 240H ,Intel® Core™ 5 processor 220H ,Intel® Core™ Ultra 5 Processor 235 ,Intel® Core™ Ultra 9 Processor 285H ,Intel® Core™ Ultra 5 Processor 235H ,Intel® Core™ Ultra 5 Processor 225H ,Intel® Core™ Ultra 7 Processor 265H ,Intel® Core™ Ultra 7 Processor 255H ,Intel® Xeon® 6741P Processor ,Intel® Xeon® 6730P Processor ,Intel® Xeon® 6781P Processor ,Intel® Xeon® 6760P Processor ,Intel® Xeon® 6788P Processor ,Intel® Xeon® 6740P Processor ,Intel® Xeon® 6768P Processor ,Intel® Xeon® 6761P Processor ,Intel® Xeon® 6787P Processor ,Intel® Xeon® 6767P Processor ,Intel® Core™ Ultra 7 Processor 265U ,Intel® Core™ Ultra 7 Processor 255U ,Intel® Core™ Ultra 5 Processor 225U ,Intel® Core™ Ultra 5 Processor 235U ,Intel® Core™ Ultra 5 Processor 225T ,Intel® Core™ Ultra 5 Processor 235T ,Intel® Core™ Ultra 5 Processor 245T ,Intel® Core™ Ultra 5 Processor 245 ,Intel® Core™ 9 processor 270H ,Intel® Core™ Ultra 7 Processor 255HX ,Intel® Core™ Ultra 9 Processor 275HX ,Intel® Core™ Ultra 7 Processor 265HX ,Intel® Core™ Ultra 5 Processor 245HX ,Intel® Core™ Ultra 5 Processor 235HX ,Intel® Core™ Ultra 9 Processor 285HX ,Intel® Xeon® 6737P Processor ,Intel® Xeon® 6738P Processor ,Intel® Xeon® 6731P Processor ,Intel® Xeon® 6748P Processor ,Intel® Xeon® 6736P Processor ,Intel® Xeon® 6728P Processor ,Intel® Core™ 5 Processor 211E ,Intel® Core™ 5 Processor 221E ,Intel® Core™ 5 Processor 221TE ,Intel® Core™ 3 Processor 201TE ,Intel® Core™ 7 Processor 251TE ,Intel® Core™ 5 Processor 211TE ,Intel® Core™ 7 Processor 251E ,Intel® Core™ 3 Processor 201E 
Low Power Efficient-core Max Turbo Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5 GHz,3.7 GHz,3.5 GHz,3.7 GHz,3.7 GHz,3.7 GHz,3.5 GHz,3.5 GHz,3.7 GHz,,,,,,,,,,,,,,,,,,,,,,,2.5 GHz,2.5 GHz,2.5 GHz,2.5 GHz,2.5 GHz,,,,,,,,,,,2.4 GHz,2.4 GHz,2.4 GHz,2.4 GHz,,,,,,,,,,,,,,,,,,,,,,,,,
Low Power Efficient-core Base Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1 GHz,2.2 GHz,2.1 GHz,2.2 GHz,2.2 GHz,2.2 GHz,2.1 GHz,2.1 GHz,3.3 GHz,,,,,,,,,,,,,,,,,,,,,,,1 GHz,700 MHz,700 MHz,700 MHz,700 MHz,,,,,,,,,,,700 MHz,700 MHz,700 MHz,700 MHz,,,,,,,,,,,,,,,,,,,,,,,,,

Supplemental Information
Marketing Status,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched
Launch Date,Q3'24,Q3'24,Q3'24,Q3'24,Q3'24,Q3'24,Q3'24,Q2'24,Q2'24,Q2'24,Q2'24,Q2'24,Q1'25,Q3'24,Q3'24,Q1'25,Q3'24,Q3'24,Q3'24,Q3'24,Q3'24,Q3'24,Q2'24,Q2'24,Q2'24,Q2'24,Q2'24,Q2'24,Q2'24,Q2'24,Q2'24,Q2'24,Q2'24,Q2'24,Q3'24,Q3'24,Q3'24,Q3'24,Q3'24,Q3'24,Q3'24,Q3'24,Q3'24,Q3'24,Q3'24,Q3'24,Q3'24,Q3'24,Q3'24,Q3'24,Q3'24,Q3'24,Q3'24,Q3'24,Q1'25,Q4'24,Q1'25,Q4'24,Q4'24,Q1'25,Q1'25,Q4'24,Q4'24,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q3'24,Q4'24,Q4'24,Q4'24,Q4'24,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q4'24,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25
Embedded Options Available,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Use Conditions,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Communications Extended Temp |  Embedded Broad Market Extended Temp |  Industrial Extended Temp,Communications Extended Temp |  Embedded Broad Market Extended Temp |  Industrial Extended Temp,Communications Extended Temp |  Embedded Broad Market Extended Temp |  Industrial Extended Temp,Communications Commercial Temp |  Embedded Broad Market Commercial Temp,Communications Extended Temp |  Embedded Broad Market Extended Temp |  Industrial Extended Temp,PC/Client/Tablet,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,PC/Client/Tablet,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,,,,,,,,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,,,,,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet,PC/Client/Tablet |  Workstation,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet,PC/Client/Tablet,,,,,,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet |  Workstation,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,,,,,,,,,,,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet |  Workstation,PC/Client/Tablet,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,,,,,,,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet
Extended Temperature Options,,,,,,,,Yes,Yes,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product Tuning (Embedded Uses),,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes

Memory Specifications
Max Memory Size (dependent on memory type),2 TB,2 TB,2 TB,2 TB,2 TB,2 TB,2 TB,32 GB,32 GB,32 GB,32 GB,32 GB,96 GB,192 GB,192 GB,96 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,96 GB,96 GB,96 GB,96 GB,96 GB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,3 TB,3 TB,3 TB,3 TB,32 GB,16 GB,32 GB,16 GB,32 GB,32 GB,16 GB,16 GB,32 GB,256 GB,256 GB,256 GB,256 GB,256 GB,256 GB,256 GB,256 GB,256 GB,256 GB,256 GB,256 GB,16 GB,16 GB,16 GB,16 GB,3 TB,96 GB,96 GB,96 GB,96 GB,256 GB,128 GB,128 GB,128 GB,128 GB,128 GB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,128 GB,128 GB,128 GB,128 GB,256 GB,256 GB,256 GB,256 GB,96 GB,256 GB,256 GB,256 GB,256 GB,256 GB,256 GB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB
Memory Types,DDR5-4800(MT/s),DDR5-4800(MT/s),DDR5-4800(MT/s),DDR5-4400 (MT/s),DDR5-4800(MT/s),DDR5-4400 (MT/s),DDR5-4800(MT/s),DDR4 3200 MT/s DDR5 4800 MT/s LPDDR5 4800 MT/s,DDR4 3200 MT/s DDR5 4800 MT/s LPDDR5 4800 MT/s,DDR4 3200 MT/s DDR5 4800 MT/s LPDDR5 4800 MT/s,DDR4 3200 MT/s DDR5 4800 MT/s LPDDR5 4800 MT/s,DDR4 3200 MT/s DDR5 4800 MT/s LPDDR5 4800 MT/s,Up to DDR5 5200 MT/sUp to DDR4 3200 MT/sUp to LPDDR5/X 6400 MT/sUp to LPDDR4X 4267 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5200 MT/sUp to DDR4 3200 MT/sUp to LPDDR5/X 6400 MT/sUp to LPDDR4X 4267 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5200 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5200 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5200 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5200 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5200 MT/s Up to DDR4 3200 MT/s,DDR5-6400,DDR5-6400,DDR5-6400,DDR5-6400,DDR5-6400,DDR5-6400,DDR5-6400,DDR5-4800(MT/s),DDR5-4800(MT/s),DDR5-4800(MT/s),DDR5-4800(MT/s),DDR5-4800(MT/s),DDR5-4800(MT/s),DDR5-4800(MT/s),DDR5(6400MT/s) |  MRDIMM(8800MT/s),DDR5(6400MT/s)MRDIMM(8800MT/s),DDR5(6400MT/s)MRDIMM(8800MT/s),DDR5(6400MT/s)MRDIMM(8800MT/s),Up to LPDDR5X 8533 MT/s,Up to LPDDR5X 8533 MT/s,Up to LPDDR5X 8533 MT/s,Up to LPDDR5X 8533 MT/s,Up to LPDDR5X 8533 MT/s,Up to LPDDR5X 8533 MT/s,Up to LPDDR5X 8533 MT/s,Up to LPDDR5X 8533 MT/s,Up to LPDDR5X 8533 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,DDR4 3200 MT/s DDR5 4800 MT/s LPDDR5 4800 MT/s,DDR4 3200 MT/s DDR5 4800 MT/s LPDDR5 4800 MT/s,DDR4 3200 MT/s DDR5 4800 MT/s LPDDR5 4800 MT/s,DDR4 3200 MT/s DDR5 4800 MT/s LPDDR5 4800 MT/s,DDR5(6400MT/s)MRDIMM(8800MT/s),Up to DDR5 6400 MT/sUp to DDR4 3200 MT/sUp to LPDDR5/X 6400 MT/sUp to LPDDR4X 4267 MT/s,Up to DDR5 5200 MT/sUp to DDR4 3200 MT/sUp to LPDDR5/X 5200 MT/sUp to LPDDR4X 4267 MT/s,Up to DDR5 6400 MT/sUp to DDR4 3200 MT/sUp to LPDDR5/X 6400 MT/sUp to LPDDR4X 4267 MT/s,Up to DDR5 5200 MT/sUp to DDR4 3200 MT/sUp to LPDDR5/X 6400 MT/sUp to LPDDR4X 4267 MT/s,Up to DDR5 6400 MT/s,Up to LPDDR5/X 8400 MT/sUp to DDR5 6400 MT/s,Up to LPDDR5/X 8400 MT/sUp to DDR5 6400 MT/s,Up to LPDDR5/X 8400 MT/sUp to DDR5 6400 MT/s,Up to LPDDR5/X 8400 MT/sUp to DDR5 6400 MT/s,Up to LPDDR5/X 8400 MT/sUp to DDR5 6400 MT/s,DDR5(6400MT/s),DDR5(6400MT/s),DDR5(6400MT/s) |  MRDIMM(8800MT/s),DDR5(6400MT/s),DDR5(6400MT/s),DDR5(6400MT/s),DDR5(6400MT/s),DDR5(6400MT/s) |  MRDIMM(8800MT/s),DDR5(6400MT/s) |  MRDIMM(8800MT/s),DDR5(6400MT/s) |  MRDIMM(8800MT/s),Up to LPDDR5/X 8400 MT/sUp to DDR5 6400 MT/s,Up to LPDDR5/X 8400 MT/sUp to DDR5 6400 MT/s,Up to LPDDR5/X 8400 MT/sUp to DDR5 6400 MT/s,Up to LPDDR5/X 8400 MT/sUp to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/sUp to DDR4 3200 MT/sUp to LPDDR5/X 6400 MT/sUp to LPDDR4X 4267 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,DDR5(6400MT/s),DDR5(6400MT/s),DDR5(6400MT/s),DDR5(6400MT/s),DDR5(6400MT/s),DDR5(6400MT/s),Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s
Maximum Memory Speed,4800 MT/s,4800 MT/s,4800 MT/s,4400 MT/s,4800 MT/s,4400 MT/s,4800 MT/s,4800 MHz,4800 MHz,4800 MHz,4800 MHz,4800 MHz,,,,,,,,,,,,,,,,6400 MT/s,6400 MT/s,6400 MT/s,5600 MT/s,6400 MT/s,5600 MT/s,5600 MT/s,4800 MT/s,4800 MT/s,4800 MT/s,4800 MT/s,4800 MT/s,4800 MT/s,4800 MT/s,8800 MT/s,8800 MT/s,8800 MT/s,8800 MT/s,,,,,,,,,,,,,,,,,,,,,,4800 MHz,4800 MHz,4800 MHz,4800 MHz,8800 MT/s,,,,,,,,,,,6400 MT/s,6400 MT/s,8000 MT/s,6400 MT/s,6400 MT/s,6400 MT/s,6400 MT/s,8000 MT/s,8000 MT/s,8000 MT/s,,,,,,,,,,,,,,,,6400 MT/s,6400 MT/s,6400 MT/s,6400 MT/s,6400 MT/s,6400 MT/s,,,,,,,,
Max # of Memory Channels,4,4,4,4,4,4,4,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,12,12,12,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,12,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,2,2,2,2,2,2,2,2
Intel® Optane™ Persistent Memory Supported,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECC Memory Supported   ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Max Memory Bandwidth,,,,,,,,,,,,,,89.6 GB/s,89.6 GB/s,,76.8 GB/s,89.6 GB/s,76.8 GB/s,76.8 GB/s,76.8 GB/s,89.6 GB/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Expansion Options
Direct Media Interface (DMI) Revision,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,4,4,4,4,,4,4,4,4,4,4,,,,,,,4,4,4,4,4,4,4,4
Scalability,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,,,,,,,1S Only,1S Only,,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,,,,,,2S,2S,2S,2S,2S,1S Only,2S,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,2S,2S,2S,2S,,,,,,,,,,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,,,,,2S,,,,,1S Only,,,,,,1S,2S,1S,2S,4S_8S,2S,4S_8S,1S,2S,2S,,,,,1S Only,1S Only,1S Only,1S Only,,,,,,,,2S,4S_8S,1S,4S_8S,2S,4S_8S,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only
PCI Express Revision,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,5.0 and 4.0,5.0 and 4.0,,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,,,,,5.0,,,,,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0
Max # of PCI Express Lanes,64,64,64,64,64,64,64,9,9,9,9,9,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,88,88,88,88,88,88,88,112,112,112,112,112,112,112,96,96,96,96,8,8,8,8,8,8,8,8,8,24,24,24,24,24,24,24,24,24,24,24,24,9,9,9,9,96,28,28,28,28,24,28,28,28,28,28,136,88,136,88,88,88,88,136,88,88,20,20,20,20,24,24,24,24,28,24,24,24,24,24,24,88,88,136,88,88,88,20,20,20,20,20,20,20,20
Chipset / PCH PCIe Revision,,,,,,,,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,,,Gen 3,,,,,,,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gen 3,Gen 3,Gen 3,Gen 3,,Gen 3,Gen 3,Gen 3,Gen 3,,,,,,,,,,,,,,,,,,,,,,,,,Gen 3,,,,,,,,,,,,,,,,,,,,
Intel® Thunderbolt™ 4,,,,,,,,,,,,,Yes,,,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,
Microprocessor PCIe Revision,,,,,,,,,,,,,Gen 4,,,Gen 4,,,,,,,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gen 5,Gen 5,Gen 5,Gen 5,,,,,,,,,,,,,,,,,,,,,,,,,Gen 5,,,,,,,,,,,,,,,,,,,,
Max # of DMI Lanes,,,,,,,,,,,,,,8,8,,8,8,8,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,8,8,8,8,8,8,8,8,8,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,8,8,8,8,,8,8,8,8,8,8,,,,,,,8,8,8,8,8,8,8,8
